                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.0977,                0.84978,                 1.2047,                0.76789,                0.95238,                0.87519,                0.61024,                 1.3443,                0.92449,                 1.2635,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.0721,                0.84947,                   1.21,                0.86259,                0.89711,                0.90371,                0.52236,                  1.703,                 1.0276,                 1.4117,               0.001637,               0.001637,               0.001637
                     57,                 1.1335,                0.88157,                 1.2217,                0.80349,                0.80952,                0.88569,                0.54465,                 1.4181,                  1.124,                 1.3514,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.0765,                0.83832,                 1.2202,                 0.8345,                0.80952,                0.79747,                 0.5158,                 1.6538,                 1.1396,                 1.4082,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.0284,                 0.8228,                 1.2028,                0.90119,                0.86907,                0.91341,                0.56972,                 1.4932,                 1.0833,                 1.3256,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.0236,                0.77819,                 1.1826,                0.94972,                 0.8997,                0.91312,                0.53373,                 1.5469,                 1.0653,                 1.3839,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.0437,                0.78869,                 1.2046,                0.78526,                0.80952,                0.84264,                0.48276,                 1.3672,                  1.041,                 1.2464,               0.001604,               0.001604,               0.001604
                     62,                 1.0645,                0.79868,                  1.197,                0.88804,                0.90476,                0.91063,                0.58307,                   1.45,                0.88869,                 1.2479,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.0087,                0.75998,                 1.1651,                0.87935,                0.71429,                 0.8828,                0.55074,                 1.6058,                0.95647,                 1.3948,              0.0015908,              0.0015908,              0.0015908
                     64,                0.96926,                0.74836,                 1.1643,                0.84131,                0.75761,                0.84619,                0.57331,                 1.5026,                0.95418,                 1.3873,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.0289,                 0.7624,                 1.1785,                0.94768,                0.66667,                0.81949,                0.50372,                 1.5817,                 1.0705,                 1.5243,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.0406,                0.78996,                 1.1764,                0.83718,                 0.7619,                0.79571,                0.52067,                 1.4492,                0.93853,                 1.4311,               0.001571,               0.001571,               0.001571
                     67,                 1.0229,                0.79743,                 1.1714,                0.77825,                0.80952,                0.78171,                 0.5357,                 1.4483,                0.97273,                 1.3292,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.0575,                0.78106,                 1.2007,                0.87988,                0.80952,                0.84879,                0.55446,                 1.5928,                 1.0402,                 1.4074,              0.0015578,              0.0015578,              0.0015578
                     69,                0.98496,                0.75996,                 1.1618,                0.94362,                0.79754,                0.90454,                0.57168,                 1.5303,                0.94249,                 1.3383,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.0078,                0.77398,                 1.1564,                0.89917,                 0.8496,                0.88637,                0.50491,                 1.6587,                0.96089,                 1.3853,              0.0015446,              0.0015446,              0.0015446
                     71,                0.97714,                0.71906,                 1.1449,                0.88268,                0.80952,                0.88957,                0.54998,                 1.5717,                 1.0214,                 1.2854,               0.001538,               0.001538,               0.001538
                     72,                0.96493,                0.70656,                 1.1395,                0.86445,                0.80952,                0.90677,                0.63929,                 1.2939,                0.82715,                 1.1971,              0.0015314,              0.0015314,              0.0015314
                     73,                0.98169,                0.73069,                 1.1459,                0.91734,                0.71429,                0.80437,                0.56864,                 1.6223,                 1.1323,                 1.4067,              0.0015248,              0.0015248,              0.0015248
                     74,                0.99523,                0.73497,                 1.1589,                0.97379,                0.80952,                 0.8921,                0.61965,                 1.4916,                0.89581,                 1.2541,              0.0015182,              0.0015182,              0.0015182
                     75,                0.95775,                0.70641,                 1.1432,                0.80328,                 0.7619,                0.84316,                0.53747,                 1.6729,                 1.1303,                 1.3779,              0.0015116,              0.0015116,              0.0015116
                     76,                0.94191,                0.70645,                 1.1254,                0.85537,                0.95238,                0.94311,                0.56698,                 1.5764,                 0.9496,                 1.3035,               0.001505,               0.001505,               0.001505
                     77,                0.98568,                0.74545,                 1.1445,                      1,                0.85395,                0.92845,                0.56757,                 1.4436,                0.91088,                 1.2659,              0.0014984,              0.0014984,              0.0014984
                     78,                0.94424,                0.73782,                 1.1605,                0.94123,                0.76265,                0.89133,                0.57252,                 1.3886,                  1.072,                 1.2772,              0.0014918,              0.0014918,              0.0014918
